"","Secondary","Psychological.Complaints","Psychosomatic.Complaints"
"296",2.7,2.8,2.6
"297",1.8,2.2,1.4
"298",2.5,3.2,1.8
"299",1.7,1.8,1.6
"300",2.7,3.2,2.2
"301",2.9,3.2,2.6
"302",3.2,3.2,3.2
"303",3.3,3.6,3
"304",2.6,3,2.2
"305",3.6,3.4,3.8
"306",4,4.2,3.8
"307",2.4,2.6,2.2
"308",1.6,1.4,1.8
"309",2.8,2.8,2.8
"310",2.7,2.8,2.6
"311",2.3,2.6,2
"312",2.6,2.6,2.6
"313",3.2,3,3.4
"314",1.4,1.4,1.4
"315",2.7,3,2.4
"316",3.2,3.4,3
"317",2,2.2,1.8
"318",1.6,1.8,1.4
"319",2.1,2,2.2
"320",2.9,3.4,2.4
"321",3.6,3.6,3.6
"322",2.2,1.8,2.6
"323",3.9,4.4,3.4
"324",1.9,2,1.8
"325",2.7,2.8,2.6
"326",2.5,3.4,1.6
"327",2.7,3.6,1.8
"328",2.7,2.2,3.2
"329",3.6,3.8,3.4
"330",1.4,1.4,1.4
"331",2.4,2.6,2.2
"332",2.5,2.4,2.6
"333",2.5,2.8,2.2
"334",2.1,2.4,1.8
"335",2.5,2.8,2.2
"336",2.7,2.6,2.8
"337",2.1,1.8,2.4
"338",2.1,2.4,1.8
"339",4.1,4,4.2
"340",3.5,3.6,3.4
"341",3.1,3,3.2
"342",3.5,3.8,3.2
"343",3.7,4.2,3.2
"344",1.8,2,1.6
"345",2.6,2.6,2.6
"346",2.3,2.6,2
"347",2.1,2.2,2
"348",2.2,2.4,2
"349",1.5,1.6,1.4
"350",1.8,1.8,1.8
"351",2.8,3,2.6
"352",1.5,1.4,1.6
"353",1.6,1.8,1.4
"354",1.8,2.2,1.4
"355",3.1,3.6,2.6
"356",2.5,3.2,1.8
