"","ex01","ex02","ex03","ex04","ex05","ex06","ex07","ex08","md09","md10","md11","md12","md13","ci14","ci15","ci16","ci17","ci18","ei19","ei20","ei21","ei22","ei23","plc01","plc02","plc03","plc04","plc05","psc06","psc07","psc08","psc09","psc10"
"82",3,2,1,2,4,2,2,3,2,2,1,2,4,3,3,4,3,3,3,1,2,2,2,3,1,3,2,4,1,1,2,2,2
"83",3,5,3,3,3,4,3,4,4,4,2,3,2,4,4,5,5,4,4,3,1,2,3,5,5,3,4,3,3,2,1,4,2
"84",3,3,2,1,3,3,2,3,3,2,2,2,2,4,2,3,3,3,1,2,1,3,1,5,4,4,4,4,3,2,1,2,1
"85",2,3,1,1,3,3,4,2,1,1,1,1,2,3,2,2,4,2,1,1,4,1,1,3,4,4,2,2,1,1,3,3,1
"86",1,3,2,1,2,3,1,1,1,1,1,1,1,1,2,2,1,3,1,2,3,1,1,4,2,3,2,1,1,4,1,4,2
"87",3,5,3,3,2,2,1,3,2,1,1,1,1,3,2,2,1,1,1,1,2,1,3,3,3,4,2,1,1,2,3,3,1
"88",3,4,4,5,4,3,4,4,2,4,3,2,2,4,4,3,3,3,3,3,3,3,3,5,4,3,3,4,4,4,4,5,2
"89",2,2,3,1,1,1,3,3,1,1,1,1,2,2,1,3,2,2,1,1,2,1,1,1,2,1,3,1,1,1,1,3,1
"90",2,2,2,1,3,4,3,3,3,3,1,2,2,4,3,4,3,4,1,3,2,2,2,2,1,1,1,1,1,1,4,5,1
"91",4,3,3,5,3,3,3,4,3,2,2,1,3,3,2,4,4,3,2,1,4,1,4,5,4,5,4,5,1,1,2,4,2
"92",3,3,2,1,3,3,3,2,4,2,3,3,3,4,3,3,3,4,1,3,3,3,1,1,5,4,4,2,2,1,2,3,1
"93",2,2,2,2,3,2,2,3,2,3,1,1,2,3,3,3,3,4,2,2,3,2,2,2,4,4,3,3,1,3,2,3,2
"94",1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,3,3,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2
"95",3,4,2,2,3,1,3,3,2,3,1,2,4,3,4,1,2,3,3,3,5,2,3,2,4,4,3,3,4,5,2,3,3
"96",2,1,3,1,3,2,1,2,1,2,2,1,1,3,3,3,2,3,2,1,3,2,1,5,3,4,2,2,1,1,3,4,2
"97",2,1,2,2,3,2,2,3,1,1,1,1,1,4,2,4,4,4,2,1,4,3,1,3,4,4,4,2,4,4,2,4,1
"98",4,4,4,4,2,4,3,3,4,2,3,3,2,4,4,3,4,3,3,3,3,4,2,3,5,4,3,5,1,2,3,4,2
"99",5,4,3,3,5,5,4,4,4,5,4,4,2,4,4,5,4,4,1,2,1,3,1,3,4,5,3,4,1,1,1,2,1
"100",5,4,5,3,5,4,4,4,4,3,3,4,3,5,4,5,3,4,3,3,2,2,1,5,2,2,1,5,4,1,3,5,1
"101",2,3,2,3,3,4,2,3,4,1,2,3,2,3,2,2,1,3,1,1,1,3,1,2,5,4,1,4,3,2,4,4,3
"102",1,3,2,2,2,2,3,2,1,2,1,2,2,3,2,3,2,1,1,1,3,1,3,2,1,2,1,1,1,1,1,3,1
"103",1,1,1,1,2,3,2,1,1,2,1,1,1,3,3,4,4,4,1,1,2,2,1,4,2,2,1,4,1,1,1,1,1
