"","UWES_VI1","UWES_DE1","UWES_AB1","UWES_VI2","UWES_DE2","UWES_AB2","UWES_DE3","UWES_VI3","UWES_AB3","UWES_DE4","UWES_AB4","UWES_VI4","UWES_DE5","UWES_AB5","UWES_VI5","UWES_AB6","UWES_VI6"
"113",5,5,4,7,3,2,6,6,6,5,6,3,6,6,5,5,5
"114",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA
"115",6,7,4,6,7,4,7,6,7,7,7,7,7,7,7,6,7
"116",4,7,6,5,7,4,6,5,5,7,6,4,7,6,3,3,6
"117",4,6,4,5,7,2,6,5,4,7,3,4,5,6,6,3,6
"118",4,NA,5,4,4,4,4,4,6,4,3,4,6,4,5,3,3
"119",4,6,4,4,5,2,5,4,7,6,6,3,6,6,4,4,4
"120",6,6,6,5,6,4,6,6,5,7,5,5,6,5,5,3,6
"121",4,5,7,5,5,NA,5,NA,6,5,3,6,7,6,5,2,6
"122",3,4,NA,NA,6,NA,6,NA,3,4,3,5,NA,5,4,2,3
"123",3,NA,2,2,4,3,4,2,5,7,4,7,5,3,4,4,7
"124",4,4,5,4,4,3,4,4,3,5,2,2,2,4,4,1,3
"125",5,7,7,7,7,6,7,2,7,7,7,5,7,7,7,7,7
"126",3,3,4,3,3,3,4,4,4,3,4,4,4,3,3,4,4
"127",4,5,6,5,5,5,5,4,4,6,5,5,5,5,5,4,4
"128",3,6,4,4,5,3,5,3,NA,4,3,4,4,5,3,4,4
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",4,5,6,5,5,3,4,5,3,5,3,4,5,3,5,5,7
"131",4,7,NA,NA,4,NA,NA,NA,2,7,6,3,6,6,7,6,6
"132",5,7,7,7,5,7,7,7,7,6,7,7,7,6,6,7,7
"133",5,4,5,5,5,4,5,5,5,6,5,4,4,5,5,5,5
"134",4,6,4,4,4,NA,5,4,4,4,3,3,4,5,4,3,4
"135",6,7,6,6,7,4,7,6,5,7,3,4,7,7,5,3,5
"136",3,4,4,2,3,3,4,2,1,5,2,1,5,3,2,5,4
"137",5,7,6,4,7,3,7,6,4,7,6,4,6,7,5,5,7
"138",NA,NA,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,NA,2,NA,2
"139",1,3,1,1,3,1,1,3,3,6,2,1,7,3,1,1,2
"140",7,7,6,7,7,1,7,7,1,7,7,7,4,7,7,4,7
"141",5,5,4,5,5,1,5,1,5,5,3,4,4,5,5,4,3
"142",6,6,7,5,7,1,4,2,3,7,4,7,1,5,6,6,3
"143",6,7,5,6,6,6,6,6,7,7,6,6,6,7,6,5,6
"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",6,7,6,6,7,5,7,6,7,7,4,5,7,7,7,6,7
"146",3,7,4,4,6,1,6,4,6,7,2,4,7,4,4,1,3
"147",7,7,7,7,7,6,7,7,4,7,6,6,7,7,6,6,6
"148",7,7,7,7,7,2,7,NA,7,7,7,7,7,7,7,2,7
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",3,3,4,3,4,4,5,4,5,3,5,4,3,2,5,6,5
"151",6,6,5,5,7,3,7,6,7,1,3,3,6,7,5,3,5
"152",2,6,NA,7,6,NA,5,5,7,5,6,3,2,5,5,2,6
